id;name;description;bar_code;buying_price;selling_price
1;Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;7543;52309;16621
2;magenta heuristic;Credit Card Account Maryland Legacy;4544;91525;28096
3;Brand Regional Court;B2B Mouse;64684;46369;38826
4;Persevering analyzing;Engineer Architect;69816;3231;53609
5;groupware;Credit Card Account clear-thinking Frozen;7620;82253;94053
6;models New Mexico District;Accountability;86606;55158;4521
7;Grocery;transmit Ways;98528;15041;37673
8;navigate redefine;generating bypassing Bypass;41481;13385;27340
9;Ergonomic Fresh Chicken;Zimbabwe parse Customer;58514;76898;72612
10;program enhance Multi-channelled;Concrete;95405;27473;60617
