id;name;note
1;Peru deposit;Frozen Analyst card
2;redundant;content
3;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard
4;Enterprise-wide Benin;Tuna Response invoice
5;alarm Jamaica;system Gorgeous Rubber Pants
6;hack;leading-edge
7;Ergonomic Steel Gloves;Developer Shoes Music
8;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna
9;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account
10;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina
